ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
f4ce17a0-720e-46e8-8a12-befc90fab3bc,2002-08-11,,999-61-4021,S99985608,,,Lucila204,Langosh790,,,,white,english,F,Braintree Town,943 Barton Trailer,North Adams,Massachusetts,01247
b4339f80-9313-4437-8664-cffdca3c5e9a,2002-10-25,,999-93-2628,S99955993,,,Cassandra224,Hessel84,,,,white,italian,F,Holbrook,355 Quitzon Run Unit 44,Palmer Town,Massachusetts,01009
edd5a63e-f86a-4fb9-b9ff-b26c5506c96b,1990-02-24,,999-69-3289,S99941381,X73654426X,Mr.,Max124,Gutkowski940,,,M,white,portuguese,M,Rowley,1038 Pouros Brook,East Longmeadow,Massachusetts,01028
525fdbdc-959e-472f-8986-d1a492c89d45,1966-02-11,,999-76-3812,S99987691,X37872486X,Mrs.,Marvel321,Turner526,,Gutkowski940,M,white,swedish,F,Pembroke,348 Jenkins Branch Suite 7,West Bridgewater,Massachusetts,02379
57143e43-c999-4c34-924e-85366d2cac70,1963-10-10,,999-44-3803,S99990025,X23130572X,Mrs.,Willie882,Bednar518,,Yost751,M,white,italian,F,Newton,421 Beahan Frontage road,Southwick,Massachusetts,01077
48875d6f-3aca-4192-a602-1c5ec8e151d8,1984-04-03,,999-82-5042,S99959890,X72913497X,Mr.,Shon148,Zulauf375,,,M,white,italian,M,Tewksbury,1043 Torp Orchard Unit 8,Foxborough,Massachusetts,02035
cd2ceea4-60ab-4d06-a242-75ca09565cfd,1960-07-04,,999-52-7877,S99945663,X62013902X,Mrs.,Lang846,Ebert178,JD,Hegmann834,M,white,french,F,Worcester,267 Pfannerstill Gateway,Holyoke,Massachusetts,01040
ab88704a-530f-4f71-b9c3-43680747b607,1951-12-30,,999-73-1854,S99916050,X11969201X,Mr.,Sheldon401,Little434,,,M,white,german,M,Westport,189 Wintheiser Vale Apt 66,Woburn,Massachusetts,01801
0799fb7f-1bca-475b-b4b5-e2bdb12cc2ea,1970-08-19,,999-53-6641,S99944756,X35728591X,Mr.,Aaron697,Herman763,,,M,black,african,M,Worcester,346 Lehner Brook Apt 87,Boston,Massachusetts,02108
d41715db-9a90-495a-9f91-aaa16ad9442e,1969-08-22,,999-47-9284,S99939088,X4035803X,Mr.,Shon148,Gutmann970,,,M,white,german,M,Methuen Town,356 Satterfield Fort Suite 33,Quincy,Massachusetts,02169
1380e511-e41a-4b76-9c76-2405db0d0fac,1940-09-04,,999-80-5742,S99983821,X80181759X,Mrs.,Marcia467,Parisian75,,Rowe323,M,white,american,F,Boston,807 Luettgen Rapid Apt 11,Middleborough,Massachusetts,02346
0f204000-c8cf-4243-b205-8e5dc787500a,2005-09-25,,999-38-6641,,,,Jacob959,Schiller186,,,,asian,chinese,M,Marlborough,1047 Harber Row,Quincy,Massachusetts,02169
d948ceae-4d3d-49e7-9bc4-d6cb0c944017,2005-03-19,,999-58-7722,,,,Nguyet780,Gerlach374,,,,white,italian,F,Wilmington,1063 Russel Lodge Apt 82,Stoughton,Massachusetts,02072
b9009ab0-2d91-49a1-86e4-a5160331c51a,1980-09-27,,999-25-1618,S99935275,X76909937X,Mr.,Weldon459,Schroeder447,,,S,white,irish,M,Wilmington,1051 Hessel Skyway Apt 11,Rockland,Massachusetts,02370
5bdf5372-a50e-44e9-9857-42449798e7e4,1986-07-08,,999-20-3811,S99995565,X1755013X,Mrs.,Collette420,Ledner144,,Hauck852,M,white,irish,F,Amherst,619 Labadie Stravenue Unit 17,Cambridge,Massachusetts,02138
07077713-7dc0-4db4-8379-87ac1de7d9d2,2018-03-14,,999-28-2125,,,,Kristi306,Rodriguez71,,,,white,portuguese,F,Worcester,682 Ullrich Orchard Apt 68,Longmeadow,Massachusetts,01106
84ca930a-7bd5-4fde-a229-951b45f27cf5,1947-05-29,1996-05-09,999-17-9198,S99946496,X29617786X,Mrs.,Roy364,Franecki195,,Lynch190,M,white,irish,F,Watertown Town,212 Hammes Fork,Springfield,Massachusetts,01013
95c1574b-a369-44f8-969c-e734c7cbb96e,1997-08-02,,999-84-3529,S99981459,X12178816X,Mr.,Stewart672,Weissnat378,,,,white,polish,M,Plymouth,825 Schulist Walk,Abington,Massachusetts,02351
163b0e98-4062-4df5-bb16-ae5f2374f3a6,1969-03-25,1971-03-15,999-33-9325,,,,Numbers230,Schmeler639,,,,white,irish,M,Sandwich,426 Emmerich Lodge Apt 99,Marshfield,Massachusetts,02050
